평균 상대습도(%),일시,실효습도
75.9,20170101,54.27375
77.8,20170102,56.26225
61.8,20170103,57.37625
55.0,20170104,57.47292
52.3,20170105,49.797297
58.5,20170106,48.581154000000005
64.9,20170107,49.554054
61.4,20170108,49.991820000000004
60.8,20170109,50.461119000000004
45.1,20170110,46.215765000000005
36.4,20170111,40.321407
43.1,20170112,37.882662
47.4,20170113,37.642014
33.3,20170114,33.273813
35.3,20170115,31.607681999999997
37.6,20170116,31.570053000000005
46.6,20170117,33.905892
68.9,20170118,42.01416900000001
55.4,20170119,44.350899
70.3,20170120,50.355768000000005
78.1,20170121,56.783208
51.3,20170122,52.788627000000005
48.4,20170123,47.998031999999995
49.6,20170124,45.685299
50.6,20170125,43.615113
64.4,20170126,45.912699
47.3,20170127,43.742292000000006
38.0,20170128,39.579228
71.1,20170129,46.534578
61.4,20170130,48.442902
44.8,20170131,44.10291900000001
44.5,20170201,41.837129999999995
52.9,20170202,43.239993000000005
65.4,20170203,46.303062000000004
69.4,20170204,50.136294
75.3,20170205,55.426545000000004
51.0,20170206,51.854847
45.4,20170207,47.251122
50.1,20170208,44.808251999999996
47.0,20170209,41.966559
44.3,20170210,38.86989
45.4,20170211,38.257452
51.3,20170212,39.881103
59.6,20170213,43.27068
46.0,20170214,41.719689
52.1,20170215,42.600132
63.9,20170216,46.700979000000004
56.9,20170217,47.174088
49.4,20170218,44.83677
68.0,20170219,49.466373
53.8,20170220,48.139527
37.1,20170221,41.605767
70.8,20170222,47.495082000000004
56.4,20170223,47.675760000000004
51.3,20170224,45.334404000000006
63.6,20170225,48.10143300000001
52.8,20170226,47.640384000000005
37.4,20170227,40.998461999999996
41.5,20170228,38.305178999999995
65.0,20170301,43.727028
59.5,20170302,45.252144
54.4,20170303,45.334272000000006
60.0,20170304,47.848245000000006
71.6,20170305,52.88130000000001
41.3,20170306,46.129545
37.5,20170307,40.540632
50.6,20170308,40.81554
47.3,20170309,39.735618
37.4,20170310,35.424789
37.4,20170311,33.934965000000005
58.4,20170312,39.383688
49.8,20170313,39.957279
37.5,20170314,36.835181999999996
34.9,20170315,34.368882
41.8,20170316,34.712472000000005
